index,input,acp
0,"Employees ranked as professors or tenured assistant professors can select from, insert into, and delete from graduate admission related tables in the database.",1
1,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and date of birth to help confirm identity.",1
2,Customer service reps can use credit card number for the purpose of updating records if requested by a patient.,1
3,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and e-mail addresses.",1
4,Shipping Reps can use customer name and customer mailing addresses to ship orders.,1
5,Billing Reps can use credit card numbers for order processing.,1
6,"Customer Service Reps can modify credit card numbers for order processing, if the customer is notified by email of the change.",1
7,"Customer service reps, ducks or Lawyers can use credit card number for the purpose of making treatment decisions if customer has opted-in.",1
8,Admission nurses use SSN for reviewing eligibility if requested by a patient who is returning.,1
9,Customer service reps and managers may collect and use name and social security number for the purpose of confirming identity.,1
10,The organisation may use email addresses to answer inquiries.,1
11,Supervisors can collect personal information if required by law.,1
12,Financial consultants can collect and use customer name for the purpose of confirming identity.,1
13,Financial analysts can use customer accounts to make loan decisions.,1
14,Management can report customer transactions if required by law.,1
15,The director chooses options from the package to give to all employees.,1
16,He or she also can read the information about the distribution of options.,1
17,The director can promote an employee to be a  manager.,1
18,"An employee can appoint another employee to be his advocate, and have read access to his bonus information – for example, this might be useful if he needs help from a trade union.",1
19,"For example, write a check use case should be invoked by (authorized to) clerk role.",1
20,"If the invoice’s total amount exceeds one million, then two different supervisors must authorize the invoice.",1
21,A professor can review the same project at most one time.,1
22,Only the business office manager and the dean can approve a project.,1
23,The PC chair appoints the PC members.,1
24,A PC member can resign his membership.,1
25,The reviewer of a paper can assign the paper to be sub-reviewed by an agent who is not an author of the paper and has not been assigned the same paper by another reviewer.,1
26,All members of Faculty can Assign both InternalGrades and ExternalGrades.,1
27,The sole counter-example shows that a student with the freedom to assign external grades is also a ta but not a faculty member.,1
28,All members of role Faculty Family can receive External-Grades.,1
29,"If the subject is a faculty member, then permit that subject to assign grades.",1
30,"If the subject is not a faculty member, then permit that subject to enroll in courses.",1
31,"The manager has the broadest access to the information, including access to personal, financial, clinical and medical information about each resident.",1
32,The care plan is updated in consultation with the resident or the responsible person.,1
33,Only the manager is allowed to delete the information about a resident but here also that right is restricted.,1
34,The health care workers are required to sign a confidentiality agreement before they have access to any resident data.,1
35,Access to emergency details is available for all staff.,1
36,"For a special purpose, access to an older medical record can be sought and obtained from the manager.",1
37,"Occasionally, due to pressing circumstances, it may be necessary for a visiting doctor to examine a resident who is not normally his or her patient.",1
38,This is permitted with the consent of the resident or the responsible person and the notification of the manager.,1
39,"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",1
40,A user should already grant diagnosing right to create medicine orders.,1
41,"Only one user, here is the Pharmacy System, can load medicines to the medicine dispenser.",1
42,Pharmacy System may get reports and status information of the medicine dispenser.,1
43,Pharmacy System can load medicines to the dispenser only at a time interval 12:00-13:00 in a day.,1
44,Only Doctors and Nurses can read patient records.,1
45,Any subject with an e-mail name in the med.example.com domain can perform any action on any resource.,1
46,"A person, identified by his or her patient number, may read any record for which he or she is the designated patient.",1
47,"A person may read any record for which he or she is the designated parent or guardian, and for which the patient is under 16 years of age.",1
48,"A physician may write to any medical element for which he or she is the designated primary care physician, provided an email is sent to the patient.",1
49,Administrators can access only the administrative pages,1
50,Guests can access all the public areas of the site,1
51,"Owners can access their account, move funds, and review transactions.",1
52,Planners can access the sites financial planning and tax preparation functions,1
53,Payers can use the site's bill paying function .,1
54,Data Owners can transfer ownership of information to other users.,1
55,"Data Owners can determine the type of access given to other users (read, write, copy, etc.).",1
56,"Users who do not have access to information should not be able to determine its characteristics (file size, file name, directory path, etc.)",1
57,All users can read from a lower classification than the one they are granted (A secret user can read an unclassified document).,1
58,All users can write to a higher classification (A secret user can post information to a Top Secret resource).,1
59,All users are given read or write access to objects only of the same classification (a secret user can only read or write to a secret document).,1
60,Staff can print on HP Laserjet 1.,1
61,David can assign the manager role to Alice.,1
62,John can assign clerk to users from department A,1
63,Clerk can read from database.,1
64,Owners can read Name.,1
65,"Clerks can add and change the Name, the date of birth, the Address and the Postcode.",1
66,All members of FACULTY can ASSIGN both INTERNALGRADES and EXTERNALGRADES.,1
67,All members of STUDENT can RECEIVE EXTERNALGRADES.,1
68,"During the submission phase, an author may submit a paper.",1
