ID,Source,Sentence,temporal_gold,spatial_gold,temporal_OK,spatial_OK,temporal_final,spatial_final,note,annotator,status
P0001,policy_dataset,A senior nurse can approve medical records during business hours within the hospital.,during business hours,within the hospital,LLM_MOCK,LLM_MOCK,during business hours,within the hospital,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0002,policy_dataset,Managers in the finance department can approve expense reports.,,,LLM_MOCK,LLM_MOCK,,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0003,policy_dataset,Security officers can view and modify exam grades during the night shift via trusted platforms.,during the night shift,via trusted platforms,LLM_MOCK,LLM_MOCK,during the night shift,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0004,policy_dataset,Security officers can approve and view network configurations at the headquarters building.,,at the headquarters building,LLM_MOCK,LLM_MOCK,,at the headquarters building,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0005,policy_dataset,Training department staff can delete and approve network configurations using internal devices.,,using internal devices,LLM_MOCK,LLM_MOCK,,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0006,policy_dataset,IT support staff can configure and access cryptography datasets via trusted platforms.,,via trusted platforms,LLM_MOCK,LLM_MOCK,,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0007,policy_dataset,Managers can modify and submit personnel files within the VACT intranet.,,within the VACT intranet,LLM_MOCK,LLM_MOCK,,within the VACT intranet,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0008,policy_dataset,Lecturers can view cryptography datasets at the cryptography lab.,,at the cryptography lab,LLM_MOCK,LLM_MOCK,,at the cryptography lab,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0009,policy_dataset,Managers can access personnel files on weekends.,on weekends,,LLM_MOCK,LLM_MOCK,on weekends,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0010,policy_dataset,Librarians can view network configurations at the cryptography lab.,,at the cryptography lab,LLM_MOCK,LLM_MOCK,,at the cryptography lab,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0011,policy_dataset,IT support staff can view exam grades from the campus network.,,from the campus network,LLM_MOCK,LLM_MOCK,,from the campus network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0012,policy_dataset,Training department staff can view and submit cryptography datasets at the cryptography lab.,,at the cryptography lab,LLM_MOCK,LLM_MOCK,,at the cryptography lab,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0013,policy_dataset,Training department staff can review system logs after the exam period at nighttime.,at nighttime,,LLM_MOCK,LLM_MOCK,at nighttime,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0014,policy_dataset,Training department staff can modify and submit financial reports using internal devices.,,using internal devices,LLM_MOCK,LLM_MOCK,,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0015,policy_dataset,Managers can access and download student records outside the campus from external IP addresses.,,from external IP addresses,LLM_MOCK,LLM_MOCK,,from external IP addresses,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0016,policy_dataset,Faculty members can approve library resources via a secure VPN.,,via a secure VPN,LLM_MOCK,LLM_MOCK,,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0017,policy_dataset,Security officers can update research papers during the night shift.,during the night shift,,LLM_MOCK,LLM_MOCK,during the night shift,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0018,policy_dataset,VACT students can download personnel files via trusted platforms.,,via trusted platforms,LLM_MOCK,LLM_MOCK,,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0019,policy_dataset,Training department staff can modify network configurations between 8am and 5pm.,8am and 5pm,,LLM_MOCK,LLM_MOCK,8am and 5pm,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0020,policy_dataset,System administrators can review research papers at the headquarters building after the exam period.,after the exam period,at the headquarters building,LLM_MOCK,LLM_MOCK,after the exam period,at the headquarters building,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0021,policy_dataset,Faculty members can update network configurations using internal devices.,,using internal devices,LLM_MOCK,LLM_MOCK,,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0022,policy_dataset,Students can review personnel files using internal devices.,,using internal devices,LLM_MOCK,LLM_MOCK,,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0023,policy_dataset,Managers can review and access library resources at the headquarters building.,,at the headquarters building,LLM_MOCK,LLM_MOCK,,at the headquarters building,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0024,policy_dataset,IT support staff can approve system logs at nighttime through an encrypted channel.,at nighttime,through an encrypted channel,LLM_MOCK,LLM_MOCK,at nighttime,through an encrypted channel,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0025,policy_dataset,Security officers can download and modify exam schedules before the deadline.,before the deadline,,LLM_MOCK,LLM_MOCK,before the deadline,,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0026,policy_dataset,VACT students can configure and upload exam grades via a secure VPN.,,via a secure VPN,LLM_MOCK,LLM_MOCK,,via a secure VPN,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0027,policy_dataset,Managers can download student records via trusted platforms.,,via trusted platforms,LLM_MOCK,LLM_MOCK,,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0028,policy_dataset,Lecturers can approve and update financial reports using internal devices during the registration period.,during the registration period,using internal devices,LLM_MOCK,LLM_MOCK,during the registration period,using internal devices,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0029,policy_dataset,VACT students can modify system logs at the headquarters building.,,at the headquarters building,LLM_MOCK,LLM_MOCK,,at the headquarters building,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0030,policy_dataset,VACT students can approve personnel files from the campus network.,,from the campus network,LLM_MOCK,LLM_MOCK,,from the campus network,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0031,policy_dataset,Security officers can review library resources through an encrypted channel.,,through an encrypted channel,LLM_MOCK,LLM_MOCK,,through an encrypted channel,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
P0032,policy_dataset,Training department staff can delete course materials via trusted platforms.,,via trusted platforms,LLM_MOCK,LLM_MOCK,,via trusted platforms,Auto-generated using pseudo-LLM logic,claude-3-5-sonnet-20241022,llm_annotated
